Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
56.178,mousemove,953,294,,,,,,,1536,738,,,FALSE
56.281,mousemove,912,285,,,,,,,1536,738,,,FALSE
56.396,mousemove,884,282,,,,,,,1536,738,,,FALSE
56.581,mousemove,880,282,,,,,,,1536,738,,,FALSE
56.693,mousemove,874,282,,,,,,,1536,738,,,FALSE
56.796,mousemove,855,297,,,,,,,1536,738,,,FALSE
57.139,mousemove,854,297,,,,,,,1536,738,,,FALSE
57.245,mousemove,817,277,,,,,,,1536,738,,,FALSE
57.755,mousemove,816,274,,,,,,,1536,738,,,FALSE
58.474,click,814,265,button,,inline-flex items-center justify-center whitespace-nowrap text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-primary text-primary-foreground hover:bg-primary/90 h-9 rounded-md px-3,,,,1536,738,,,FALSE
59.399,mousemove,813,265,,,,,,,1536,738,,,FALSE
59.506,mousemove,804,267,,,,,,,1536,738,,,FALSE
59.676,mousemove,790,269,,,,,,,1536,738,,,FALSE
59.778,mousemove,762,269,,,,,,,1536,738,,,FALSE
59.881,mousemove,748,271,,,,,,,1536,738,,,FALSE
59.984,mousemove,732,269,,,,,,,1536,738,,,FALSE
60.388,mousemove,724,269,,,,,,,1536,738,,,FALSE
60.604,mousemove,726,271,,,,,,,1536,738,,,FALSE
60.802,mousemove,734,280,,,,,,,1536,738,,,FALSE
61.157,mousemove,734,281,,,,,,,1536,738,,,FALSE
61.298,mousemove,734,283,,,,,,,1536,738,,,FALSE
61.938,mousemove,734,284,,,,,,,1536,738,,,FALSE
63.065,mousemove,735,287,,,,,,,1536,738,,,FALSE
63.172,mousemove,732,305,,,,,,,1536,738,,,FALSE
63.318,mousemove,732,311,,,,,,,1536,738,,,FALSE
63.421,mousemove,734,320,,,,,,,1536,738,,,FALSE
63.539,mousemove,734,335,,,,,,,1536,738,,,FALSE
63.642,mousemove,734,344,,,,,,,1536,738,,,FALSE
63.865,mousemove,734,349,,,,,,,1536,738,,,FALSE
64.015,mousemove,734,355,,,,,,,1536,738,,,FALSE
64.255,mousemove,733,355,,,,,,,1536,738,,,FALSE
64.424,mousemove,734,357,,,,,,,1536,738,,,FALSE
64.538,mousemove,746,360,,,,,,,1536,738,,,FALSE
64.639,mousemove,755,360,,,,,,,1536,738,,,FALSE
64.742,mousemove,798,358,,,,,,,1536,738,,,FALSE
65.097,click,812,360,p,,text-sm,,,,1536,738,,,FALSE
65.655,copy,,,,,,,,,,,copy,function ,FALSE
65.267,click,812,360,p,,text-sm,,,,1536,738,,,FALSE
65.365,mousemove,812,361,,,,,,,1536,738,,,FALSE
65.469,mousemove,798,404,,,,,,,1536,738,,,FALSE
65.572,mousemove,793,460,,,,,,,1536,738,,,FALSE
65.655,keydown,,,body,,,c,,,,,,,FALSE
65.705,mousemove,790,468,,,,,,,1536,738,,,FALSE
65.842,mousemove,786,458,,,,,,,1536,738,,,FALSE
66.097,click,786,458,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,FALSE
66.739,paste,,,,,,,,,,,paste,function ,FALSE
66.738,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,v,,,,,,,FALSE
67.115,mousemove,787,458,,,,,,,1536,738,,,FALSE
67.221,mousemove,831,459,,,,,,,1536,738,,,FALSE
67.324,mousemove,862,457,,,,,,,1536,738,,,FALSE
68.683,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
69.459,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,:,,,,,,,FALSE
70.987,mousemove,870,451,,,,,,,1536,738,,,FALSE
71.088,mousemove,874,445,,,,,,,1536,738,,,FALSE
71.192,mousemove,848,413,,,,,,,1536,738,,,FALSE
71.406,mousemove,840,407,,,,,,,1536,738,,,FALSE
71.510,mousemove,830,405,,,,,,,1536,738,,,FALSE
71.615,mousemove,813,397,,,,,,,1536,738,,,FALSE
71.718,mousemove,796,386,,,,,,,1536,738,,,FALSE
72.140,mousemove,796,385,,,,,,,1536,738,,,FALSE
72.242,mousemove,773,375,,,,,,,1536,738,,,FALSE
73.101,mousemove,770,375,,,,,,,1536,738,,,FALSE
73.674,mousemove,768,374,,,,,,,1536,738,,,FALSE
73.905,mousemove,766,374,,,,,,,1536,738,,,FALSE
74.048,mousemove,762,373,,,,,,,1536,738,,,FALSE
74.305,mousemove,760,373,,,,,,,1536,738,,,FALSE
74.410,mousemove,756,373,,,,,,,1536,738,,,FALSE
74.691,mousemove,753,371,,,,,,,1536,738,,,FALSE
74.889,mousemove,748,370,,,,,,,1536,738,,,FALSE
74.991,mousemove,744,365,,,,,,,1536,738,,,FALSE
75.094,mousemove,732,353,,,,,,,1536,738,,,FALSE
75.473,mousemove,728,346,,,,,,,1536,738,,,FALSE
76.505,mousemove,721,342,,,,,,,1536,738,,,FALSE
78.441,mousemove,722,341,,,,,,,1536,738,,,FALSE
78.596,mousemove,723,341,,,,,,,1536,738,,,FALSE
78.734,mousemove,724,341,,,,,,,1536,738,,,FALSE
78.849,mousemove,726,341,,,,,,,1536,738,,,FALSE
79.382,mousemove,725,341,,,,,,,1536,738,,,FALSE
79.488,mousemove,717,333,,,,,,,1536,738,,,FALSE
79.599,mousemove,712,325,,,,,,,1536,738,,,FALSE
79.702,mousemove,709,323,,,,,,,1536,738,,,FALSE
79.809,mousemove,698,249,,,,,,,1536,738,,,FALSE
80.940,mousemove,693,221,,,,,,,1536,738,,,FALSE
85.298,mousemove,682,217,,,,,,,1536,738,,,FALSE
85.451,mousemove,680,215,,,,,,,1536,738,,,FALSE
85.784,mousemove,678,214,,,,,,,1536,738,,,FALSE
85.966,mousemove,678,213,,,,,,,1536,738,,,FALSE
86.315,mousemove,679,213,,,,,,,1536,738,,,FALSE
86.422,mousemove,699,235,,,,,,,1536,738,,,FALSE
87.064,mousemove,708,239,,,,,,,1536,738,,,FALSE
87.178,mousemove,704,230,,,,,,,1536,738,,,FALSE
87.285,mousemove,694,226,,,,,,,1536,738,,,FALSE
87.391,mousemove,620,193,,,,,,,1536,738,,,FALSE
87.583,mousemove,566,173,,,,,,,1536,738,,,FALSE
88.022,mousemove,570,173,,,,,,,1536,738,,,FALSE
88.125,mousemove,538,157,,,,,,,1536,738,,,FALSE
88.230,mousemove,505,145,,,,,,,1536,738,,,FALSE
88.331,mousemove,490,141,,,,,,,1536,738,,,FALSE
88.434,mousemove,453,127,,,,,,,1536,738,,,FALSE
89.045,mousemove,432,118,,,,,,,1536,738,,,FALSE
89.997,tab-switch,,,,,,,,,,,blur,,FALSE
90.336,tab-switch,,,,,,,,,,,focus,,FALSE
89.149,mousemove,412,91,,,,,,,1536,738,,,FALSE
89.272,mousemove,404,74,,,,,,,1536,738,,,FALSE
89.739,mousemove,402,73,,,,,,,1536,738,,,FALSE
90.558,mousemove,228,,,,,,,,1536,738,,,FALSE
90.724,mousemove,243,23,,,,,,,1536,738,,,FALSE
90.828,mousemove,259,27,,,,,,,1536,738,,,FALSE
90.931,mousemove,284,33,,,,,,,1536,738,,,FALSE
91.034,mousemove,360,71,,,,,,,1536,738,,,FALSE
91.137,mousemove,444,108,,,,,,,1536,738,,,FALSE
91.240,mousemove,492,140,,,,,,,1536,738,,,FALSE
91.343,mousemove,524,157,,,,,,,1536,738,,,FALSE
91.527,mousemove,528,160,,,,,,,1536,738,,,FALSE
91.628,mousemove,562,177,,,,,,,1536,738,,,FALSE
91.731,mousemove,584,185,,,,,,,1536,738,,,FALSE
91.834,mousemove,614,201,,,,,,,1536,738,,,FALSE
91.938,mousemove,627,208,,,,,,,1536,738,,,FALSE
92.073,mousemove,638,211,,,,,,,1536,738,,,FALSE
92.398,mousemove,640,212,,,,,,,1536,738,,,FALSE
92.501,mousemove,650,210,,,,,,,1536,738,,,FALSE
92.610,mousemove,670,213,,,,,,,1536,738,,,FALSE
92.713,mousemove,694,225,,,,,,,1536,738,,,FALSE
92.871,mousemove,716,241,,,,,,,1536,738,,,FALSE
92.974,mousemove,732,261,,,,,,,1536,738,,,FALSE
93.290,mousemove,736,268,,,,,,,1536,738,,,FALSE
93.578,mousemove,732,305,,,,,,,1536,738,,,TRUE
93.713,mousemove,732,315,,,,,,,1536,738,,,TRUE
93.816,mousemove,732,331,,,,,,,1536,738,,,TRUE
93.928,mousemove,732,343,,,,,,,1536,738,,,TRUE
94.146,mousemove,732,347,,,,,,,1536,738,,,TRUE
94.259,mousemove,732,353,,,,,,,1536,738,,,TRUE
94.374,mousemove,735,353,,,,,,,1536,738,,,TRUE
94.480,mousemove,735,351,,,,,,,1536,738,,,TRUE
94.586,mousemove,736,338,,,,,,,1536,738,,,TRUE
94.694,mousemove,736,335,,,,,,,1536,738,,,TRUE
95.036,mousemove,736,331,,,,,,,1536,738,,,TRUE
95.137,mousemove,770,357,,,,,,,1536,738,,,TRUE
95.240,mousemove,864,379,,,,,,,1536,738,,,TRUE
95.343,mousemove,968,374,,,,,,,1536,738,,,TRUE
95.446,mousemove,1028,369,,,,,,,1536,738,,,TRUE
95.688,copy,,,,,,,,,,,copy,"Question:
Write a function that calculates the factorial",TRUE
95.614,click,1030,369,div,,p-4 bg-muted rounded-lg,,,,1536,738,,,TRUE
95.622,mousemove,1030,369,,,,,,,1536,738,,,TRUE
95.687,keydown,,,body,,,c,,,,,,,TRUE
