Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
66.338,mousemove,605,339,,,,,,,1536,738,,,TRUE
66.446,mousemove,641,349,,,,,,,1536,738,,,TRUE
66.552,mousemove,699,381,,,,,,,1536,738,,,TRUE
66.655,mousemove,750,445,,,,,,,1536,738,,,TRUE
66.758,mousemove,755,455,,,,,,,1536,738,,,TRUE
66.861,mousemove,743,511,,,,,,,1536,738,,,TRUE
67.028,mousemove,735,545,,,,,,,1536,738,,,TRUE
67.135,mousemove,749,533,,,,,,,1536,738,,,TRUE
67.322,mousemove,751,525,,,,,,,1536,738,,,TRUE
67.425,mousemove,739,523,,,,,,,1536,738,,,TRUE
67.642,click,736,521,input,,rounded,,,,1536,738,,,TRUE
67.726,mousemove,737,521,,,,,,,1536,738,,,TRUE
67.831,mousemove,753,539,,,,,,,1536,738,,,TRUE
67.934,mousemove,895,585,,,,,,,1536,738,,,TRUE
68.211,mousemove,967,570,,,,,,,1536,738,,,TRUE
68.322,mousemove,958,557,,,,,,,1536,738,,,TRUE
68.510,mousemove,956,551,,,,,,,1536,738,,,TRUE
68.628,mousemove,956,547,,,,,,,1536,738,,,TRUE
69.059,mousemove,960,545,,,,,,,1536,738,,,TRUE
69.180,mousemove,986,545,,,,,,,1536,738,,,TRUE
69.286,mousemove,986,530,,,,,,,1536,738,,,TRUE
69.389,mousemove,1065,442,,,,,,,1536,738,,,TRUE
69.492,mousemove,1269,427,,,,,,,1536,738,,,TRUE
69.595,mousemove,1345,441,,,,,,,1536,738,,,TRUE
69.919,click,1357,438,button,,inline-flex items-center justify-center whitespace-nowrap rounded-md text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-primary text-primary-foreground hover:bg-primary/90 h-10 px-4 py-2,,,,1536,738,,,TRUE
70.067,mousemove,1356,437,,,,,,,1536,738,,,TRUE
70.171,mousemove,1242,417,,,,,,,1536,738,,,TRUE
70.274,mousemove,1150,405,,,,,,,1536,738,,,TRUE
70.379,mousemove,1115,412,,,,,,,1536,738,,,TRUE
70.489,mousemove,1110,413,,,,,,,1536,738,,,TRUE
70.604,mousemove,1099,417,,,,,,,1536,738,,,TRUE
70.708,mousemove,1086,421,,,,,,,1536,738,,,TRUE
70.813,mousemove,1032,422,,,,,,,1536,738,,,TRUE
70.916,mousemove,910,291,,,,,,,1536,738,,,TRUE
71.019,mousemove,820,191,,,,,,,1536,738,,,TRUE
71.122,mousemove,816,185,,,,,,,1536,738,,,TRUE
71.225,mousemove,808,162,,,,,,,1536,738,,,TRUE
71.633,mousemove,808,161,,,,,,,1536,738,,,TRUE
71.745,click,806,161,button,,inline-flex items-center justify-center whitespace-nowrap text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-primary text-primary-foreground hover:bg-primary/90 h-9 rounded-md px-3,,,,1536,738,,,TRUE
71.747,mousemove,804,161,,,,,,,1536,738,,,TRUE
71.915,mousemove,804,163,,,,,,,1536,738,,,TRUE
72.019,mousemove,830,245,,,,,,,1536,738,,,TRUE
72.361,mousemove,856,303,,,,,,,1536,738,,,TRUE
72.468,mousemove,867,289,,,,,,,1536,738,,,TRUE
72.660,mousemove,872,281,,,,,,,1536,738,,,TRUE
72.717,click,872,281,div,,p-4 bg-muted rounded-lg,,,,1536,738,,,TRUE
72.980,mousemove,873,281,,,,,,,1536,738,,,TRUE
73.092,mousemove,878,269,,,,,,,1536,738,,,TRUE
73.286,click,880,266,p,,text-sm,,,,1536,738,,,TRUE
73.443,mousemove,880,265,,,,,,,1536,738,,,TRUE
74.313,mousemove,880,267,,,,,,,1536,738,,,TRUE
74.544,mousemove,875,269,,,,,,,1536,738,,,TRUE
74.649,mousemove,851,275,,,,,,,1536,738,,,TRUE
74.752,mousemove,820,277,,,,,,,1536,738,,,TRUE
74.854,mousemove,808,279,,,,,,,1536,738,,,TRUE
75.326,mousemove,804,279,,,,,,,1536,738,,,TRUE
75.431,mousemove,831,259,,,,,,,1536,738,,,TRUE
75.534,mousemove,865,249,,,,,,,1536,738,,,TRUE
75.637,mousemove,932,243,,,,,,,1536,738,,,TRUE
75.742,mousemove,994,234,,,,,,,1536,738,,,TRUE
75.849,mousemove,939,181,,,,,,,1536,738,,,TRUE
76.060,mousemove,872,135,,,,,,,1536,738,,,TRUE
77.085,mousemove,860,204,,,,,,,1536,738,,,FALSE
77.189,mousemove,856,236,,,,,,,1536,738,,,FALSE
81.528,mousemove,856,243,,,,,,,1536,738,,,FALSE
82.137,mousemove,856,247,,,,,,,1536,738,,,FALSE
82.244,mousemove,854,256,,,,,,,1536,738,,,FALSE
82.347,mousemove,851,281,,,,,,,1536,738,,,FALSE
82.450,mousemove,850,308,,,,,,,1536,738,,,FALSE
82.553,mousemove,850,341,,,,,,,1536,738,,,FALSE
82.716,mousemove,854,375,,,,,,,1536,738,,,FALSE
82.833,mousemove,854,379,,,,,,,1536,738,,,FALSE
83.457,mousemove,854,380,,,,,,,1536,738,,,FALSE
95.012,mousemove,854,379,,,,,,,1536,738,,,FALSE
95.117,mousemove,831,313,,,,,,,1536,738,,,FALSE
95.338,mousemove,820,281,,,,,,,1536,738,,,FALSE
95.543,mousemove,820,275,,,,,,,1536,738,,,FALSE
95.650,mousemove,843,343,,,,,,,1536,738,,,FALSE
95.769,mousemove,850,353,,,,,,,1536,738,,,FALSE
95.906,mousemove,850,355,,,,,,,1536,738,,,FALSE
96.010,mousemove,851,357,,,,,,,1536,738,,,FALSE
96.113,mousemove,851,369,,,,,,,1536,738,,,FALSE
96.257,mousemove,851,371,,,,,,,1536,738,,,FALSE
96.372,mousemove,851,383,,,,,,,1536,738,,,FALSE
96.475,mousemove,848,393,,,,,,,1536,738,,,FALSE
96.578,mousemove,843,411,,,,,,,1536,738,,,FALSE
96.762,mousemove,840,419,,,,,,,1536,738,,,FALSE
96.869,mousemove,835,453,,,,,,,1536,738,,,FALSE
97.342,mousemove,835,459,,,,,,,1536,738,,,FALSE
97.444,mousemove,834,464,,,,,,,1536,738,,,FALSE
98.252,mousemove,832,464,,,,,,,1536,738,,,FALSE
98.669,mousemove,828,464,,,,,,,1536,738,,,FALSE
98.960,mousemove,828,463,,,,,,,1536,738,,,FALSE
100.168,click,829,462,p,,text-sm,,,,1536,738,,,FALSE
100.318,click,829,462,p,,text-sm,,,,1536,738,,,FALSE
100.461,click,829,462,p,,text-sm,,,,1536,738,,,FALSE
100.575,click,829,462,p,,text-sm,,,,1536,738,,,FALSE
100.733,mousemove,830,462,,,,,,,1536,738,,,FALSE
101.094,copy,,,,,,,,,,,copy,"Write a function that calculates the factorial

",FALSE
100.838,mousemove,846,455,,,,,,,1536,738,,,FALSE
100.959,mousemove,847,453,,,,,,,1536,738,,,FALSE
101.062,mousemove,848,447,,,,,,,1536,738,,,FALSE
101.094,keydown,,,body,,,c,,,,,,,FALSE
101.930,mousemove,846,439,,,,,,,1536,738,,,TRUE
102.033,mousemove,688,397,,,,,,,1536,738,,,TRUE
102.340,mousemove,650,383,,,,,,,1536,738,,,TRUE
102.445,mousemove,624,313,,,,,,,1536,738,,,TRUE
102.548,mousemove,587,233,,,,,,,1536,738,,,TRUE
102.651,mousemove,520,93,,,,,,,1536,738,,,TRUE
103.110,tab-switch,,,,,,,,,,,blur,,TRUE
111.568,tab-switch,,,,,,,,,,,focus,,TRUE
